Date,Open,High,Low,Close,Volume,Currency
2019-04-17,4.360103130340576,4.443653106689453,4.286220073699951,4.34578800201416,5040510,USD
2019-04-18,4.344939231872559,4.424222946166992,4.271443843841553,4.362477779388428,3962743,USD
2019-04-19,4.364133834838867,4.898667812347412,4.29615592956543,4.87611722946167,5806997,USD
2019-04-20,4.868495941162109,5.43956184387207,4.8574371337890625,5.435583114624023,4130471,USD
2019-04-21,5.401988983154297,5.476656913757324,4.651668071746826,5.215818881988525,4423092,USD
2019-04-22,5.1708269119262695,6.9481000900268555,4.242541790008545,4.383469104766846,14693545,USD
2019-04-23,4.383469104766846,5.313592910766602,4.114494800567627,4.122130870819092,69288593,USD
2019-04-24,4.122130870819092,4.146081924438477,3.0967800617218018,3.636693000793457,51989410,USD
2019-04-25,3.6861250400543213,3.778510093688965,3.2270889282226562,3.3044979572296143,38575975,USD
2019-04-26,3.304625988006592,3.7733359336853027,3.1937689781188965,3.633435010910034,36448158,USD
2019-04-27,3.6408510208129883,3.6707019805908203,3.394357919692993,3.4341020584106445,24145210,USD
2019-04-28,3.4376649856567383,5.144618988037109,3.397948980331421,4.430445194244385,88477197,USD
2019-04-29,4.455836772918701,4.670701026916504,3.6973719596862793,3.7478370666503906,86344115,USD
2019-04-30,3.747668981552124,4.043846130371094,3.747668981552124,3.937069892883301,53924933,USD
2019-05-01,3.9351840019226074,4.604541778564453,3.9180049896240234,4.3901238441467285,90528588,USD
2019-05-02,4.389838218688965,4.622559070587158,4.2290167808532715,4.594657897949219,83803871,USD
2019-05-03,4.594913959503174,5.343217849731445,4.567493915557861,5.310844898223877,161847461,USD
2019-05-04,5.312575817108154,5.583137035369873,4.793865203857422,5.2599921226501465,164883490,USD
2019-05-05,5.262257099151611,5.262257099151611,4.789270877838135,4.853704929351807,68292315,USD
2019-05-06,4.851187229156494,4.86440896987915,4.5204010009765625,4.725381851196289,63030290,USD
2019-05-07,4.726506233215332,5.034808158874512,4.613525867462158,4.613525867462158,58235752,USD
2019-05-08,4.599730968475342,4.599730968475342,4.26942777633667,4.354838848114014,60816520,USD
2019-05-09,4.368481159210205,4.473283767700195,3.5335140228271484,3.896406888961792,76347151,USD
2019-05-10,3.8952560424804688,4.1114821434021,3.6915841102600098,3.832914113998413,53606617,USD
2019-05-11,3.834794044494629,4.173973083496094,3.7325549125671387,4.01777982711792,72859937,USD
2019-05-12,4.0001349449157715,4.06138801574707,3.710906982421875,3.7729990482330322,45901518,USD
2019-05-13,3.7729990482330322,4.153659820556641,3.759232997894287,3.936923027038574,63138772,USD
2019-05-14,3.9482550621032715,4.097126007080078,3.8252389430999756,3.9982290267944336,68024772,USD
2019-05-15,3.9970450401306152,4.619978904724121,3.9893689155578613,4.5290679931640625,81407357,USD
2019-05-16,4.525318145751953,4.771327018737793,4.037930965423584,4.278079032897949,76583313,USD
2019-05-17,4.274661064147949,4.78917121887207,3.9479451179504395,4.3964338302612305,117708947,USD
2019-05-18,4.3964338302612305,4.965437889099121,4.3469061851501465,4.7137041091918945,72187066,USD
2019-05-19,4.706186771392822,5.172008037567139,4.648653984069824,4.894266128540039,82033956,USD
2019-05-20,4.894266128540039,4.910953998565674,4.54256010055542,4.724707126617432,69473607,USD
2019-05-21,4.714468002319336,4.805141925811768,4.5507001876831055,4.775558948516846,57280911,USD
2019-05-22,4.775558948516846,4.800742149353027,4.357852935791016,4.359099864959717,53427877,USD
2019-05-23,4.352470874786377,4.372057914733887,4.132530212402344,4.335000991821289,50139060,USD
2019-05-24,4.3388590812683105,4.767506122589111,4.282444953918457,4.472952842712402,82477989,USD
2019-05-25,4.472952842712402,4.605970859527588,4.345797061920166,4.42470121383667,43392192,USD
2019-05-26,4.415331840515137,4.54576301574707,4.285958766937256,4.508584022521973,49349632,USD
2019-05-27,4.516543865203857,4.709647178649902,4.516543865203857,4.669845104217529,75962593,USD
2019-05-28,4.670135974884033,4.81615686416626,4.5080342292785645,4.762040138244629,56441565,USD
2019-05-29,4.762040138244629,4.812482833862305,4.514012813568115,4.689262866973877,52450620,USD
2019-05-30,4.689262866973877,6.536581993103027,4.685122013092041,5.939967155456543,272876291,USD
2019-05-31,5.939967155456543,5.948746204376221,5.277597904205322,5.813033103942871,136736662,USD
2019-06-01,5.813684940338135,6.300857067108154,5.6922831535339355,5.780048847198486,125167747,USD
2019-06-02,5.780048847198486,6.360077857971191,5.6040449142456055,6.357302188873291,84717218,USD
2019-06-03,6.357302188873291,7.2523908615112305,6.075656890869141,6.612277030944824,212229620,USD
2019-06-04,6.606974124908447,6.842354774475098,5.814773082733154,5.919371128082275,129719691,USD
2019-06-05,5.93830680847168,6.294137954711914,5.691378116607666,6.184024810791016,93898670,USD
2019-06-06,6.179597854614258,6.182961940765381,5.67956018447876,6.058681011199951,78003590,USD
2019-06-07,6.055584907531738,6.5824809074401855,5.939313888549805,6.3393378257751465,101407237,USD
2019-06-08,6.3394598960876465,6.348464012145996,5.981265068054199,6.138370990753174,50257190,USD
2019-06-09,6.13679313659668,6.194450855255127,5.70798921585083,5.872391223907471,49629337,USD
2019-06-10,5.856109142303467,6.110669136047363,5.766838073730469,6.108677864074707,61495899,USD
2019-06-11,6.111080169677734,6.172414779663086,5.807267189025879,5.9836578369140625,53676891,USD
2019-06-12,5.9837141036987305,6.270924091339111,5.900940895080566,6.131581783294678,63690195,USD
2019-06-13,6.130770206451416,6.524448871612549,6.076066017150879,6.286849021911621,67900352,USD
2019-06-14,6.287563800811768,6.3015360832214355,5.946177959442139,6.299398899078369,68909619,USD
