Date,Open,High,Low,Close,Volume,Currency
2021-05-15,37.555267333984375,37.577980041503906,33.88628005981445,34.11305236816406,211441,USD
2021-05-16,34.11080551147461,34.1164665222168,31.807151794433594,31.864301681518555,226074,USD
2021-05-17,31.871456146240234,32.09136199951172,28.3990421295166,29.399192810058594,456442,USD
2021-05-18,29.40270233154297,29.404109954833984,26.007915496826172,26.16153907775879,233046,USD
2021-05-19,26.159517288208008,26.2678279876709,18.284236907958984,19.74747085571289,735558,USD
2021-05-20,19.748165130615234,19.88202667236328,18.223817825317383,18.91080665588379,279053,USD
2021-05-21,18.910690307617188,19.542470932006836,16.965316772460938,17.078140258789062,547558,USD
2021-05-22,17.07833480834961,17.12334632873535,15.308650016784668,15.308650016784668,220992,USD
2021-05-23,15.309671401977539,15.309671401977539,8.678068161010742,9.046384811401367,749607,USD
2021-05-24,9.046032905578613,10.241366386413574,8.559212684631348,9.798955917358398,352112,USD
2021-05-25,9.798955917358398,10.13845157623291,9.7876615524292,10.091421127319336,90919,USD
2021-05-26,10.090126991271973,11.074121475219727,9.993444442749023,11.072178840637207,186761,USD
2021-05-27,11.07314395904541,11.159002304077148,10.920533180236816,11.157415390014648,51323,USD
2021-05-28,11.157414436340332,11.448365211486816,11.040618896484375,11.326884269714355,117299,USD
2021-05-29,11.328872680664062,11.437172889709473,10.834583282470703,10.86641788482666,79886,USD
2021-05-30,10.866293907165527,11.212706565856934,10.72001838684082,11.199885368347168,166812,USD
2021-05-31,11.198217391967773,11.890031814575195,11.023451805114746,11.876664161682129,189180,USD
2021-06-01,11.875770568847656,15.581945419311523,11.844470024108887,15.5790376663208,420354,USD
2021-06-02,15.576677322387695,15.877055168151855,15.090764045715332,15.877055168151855,134683,USD
2021-06-03,15.874746322631836,16.39574432373047,15.87372875213623,15.979818344116211,143108,USD
2021-06-04,15.978047370910645,15.980690956115723,14.746491432189941,14.951229095458984,158893,USD
2021-06-05,14.95418930053711,15.528314590454102,14.904980659484863,15.28307056427002,104720,USD
2021-06-06,15.287040710449219,15.424703598022461,15.256354331970215,15.378087997436523,32065,USD
2021-06-07,15.376111030578613,15.515656471252441,15.325058937072754,15.387314796447754,9940,USD
2021-06-08,15.38589859008789,15.39426040649414,15.378412246704102,15.388121604919434,0,USD
2021-06-09,15.388495445251465,15.393704414367676,15.373641967773438,15.381684303283691,0,USD
2021-06-10,15.379920959472656,15.391841888427734,15.375493049621582,15.387561798095703,0,USD
2021-06-11,15.386143684387207,15.392663955688477,15.37244987487793,15.387982368469238,0,USD
2021-06-12,15.38637638092041,15.398239135742188,15.37832260131836,15.397241592407227,0,USD
2021-06-13,15.397241592407227,15.40036392211914,15.37170696258545,15.37332820892334,0,USD
2021-06-14,15.372260093688965,15.698402404785156,11.913228034973145,15.69513988494873,1,USD
2021-06-15,11.70325756072998,11.913580894470215,11.247106552124023,11.714927673339844,239963,USD
2021-06-16,11.250367164611816,11.445755004882812,11.029908180236816,11.113977432250977,226515,USD
2021-06-17,11.11584758758545,11.220786094665527,10.309884071350098,10.315197944641113,153234,USD
2021-06-18,10.314868927001953,10.37974739074707,9.718205451965332,9.727090835571289,132264,USD
2021-06-19,9.726239204406738,9.822818756103516,9.721489906311035,9.780969619750977,60402,USD
2021-06-20,9.782609939575195,9.884119033813477,9.69480037689209,9.760054588317871,41650,USD
2021-06-21,9.76046085357666,9.777146339416504,9.366795539855957,9.494778633117676,113920,USD
2021-06-22,9.49576187133789,9.5671968460083,8.522912979125977,9.016860008239746,211606,USD
2021-06-23,9.017435073852539,9.137618064880371,8.989158630371094,9.08030891418457,143866,USD
2021-06-24,9.05512523651123,9.100464820861816,9.046722412109375,9.04964828491211,25096,USD
2021-06-25,9.0482177734375,9.050965309143066,8.716774940490723,8.717248916625977,40425,USD
2021-06-26,8.717846870422363,8.718486785888672,8.562768936157227,8.576872825622559,28902,USD
2021-06-27,8.578407287597656,8.662474632263184,8.55433177947998,8.645055770874023,22072,USD
2021-06-28,8.645654678344727,8.702397346496582,8.541665077209473,8.654498100280762,25180,USD
2021-06-29,8.6555814743042,9.088783264160156,8.65396499633789,8.985732078552246,45690,USD
2021-06-30,8.986927032470703,9.101319313049316,8.842638969421387,9.099143981933594,49025,USD
2021-07-01,9.098916053771973,9.23171615600586,9.03584098815918,9.23073959350586,24705,USD
2021-07-02,9.230112075805664,9.271381378173828,9.132609367370605,9.18210506439209,25518,USD
2021-07-03,9.182644844055176,9.216458320617676,8.957515716552734,9.015080451965332,26684,USD
2021-07-04,9.015113830566406,9.089863777160645,8.982173919677734,9.037667274475098,17739,USD
2021-07-05,9.037446975708008,9.172968864440918,9.017378807067871,9.170783042907715,14220,USD
2021-07-06,9.170282363891602,9.383119583129883,9.167165756225586,9.2701416015625,27381,USD
2021-07-07,9.269709587097168,9.285508155822754,9.24349594116211,9.244077682495117,19096,USD
2021-07-08,9.243350982666016,9.257061958312988,9.210470199584961,9.255711555480957,2616,USD
2021-07-09,9.256458282470703,9.260526657104492,9.212323188781738,9.22115707397461,2802,USD
2021-07-10,9.222180366516113,9.265802383422852,9.215362548828125,9.216806411743164,2229,USD
2021-07-11,9.218110084533691,9.266945838928223,9.207430839538574,9.209030151367188,2945,USD
2021-07-12,9.209446907043457,9.675580024719238,9.196952819824219,9.65657901763916,28340,USD
2021-07-13,9.657483100891113,9.896163940429688,9.648916244506836,9.880661010742188,36984,USD
2021-07-14,9.882054328918457,10.105768203735352,9.878830909729004,10.10185432434082,29780,USD
2021-07-15,10.101004600524902,10.133447647094727,10.07374382019043,10.131551742553711,19777,USD
2021-07-16,10.130426406860352,10.13586711883545,10.089127540588379,10.135238647460938,534,USD
2021-07-17,10.135360717773438,10.14164924621582,10.091669082641602,10.096393585205078,619,USD
2021-07-18,10.096458435058594,10.265155792236328,10.086069107055664,10.1751708984375,18864,USD
2021-07-19,10.175930976867676,10.177473068237305,9.96728229522705,9.96768856048584,24263,USD
2021-07-20,9.968067169189453,10.01109790802002,9.939675331115723,9.971384048461914,10883,USD
2021-07-21,9.97124195098877,9.97414493560791,9.957316398620605,9.95762825012207,5585,USD
2021-07-22,9.95762825012207,9.978025436401367,9.937938690185547,9.952431678771973,2942,USD
2021-07-23,9.951793670654297,10.002056121826172,9.946626663208008,9.99750804901123,2975,USD
2021-07-24,9.996789932250977,10.0003662109375,9.96062183380127,9.961902618408203,662,USD
2021-07-25,9.961947441101074,9.962976455688477,9.906277656555176,9.914745330810547,1579,USD
2021-07-26,9.914979934692383,9.938075065612793,9.883501052856445,9.88675308227539,3646,USD
2021-07-27,9.885388374328613,9.922904014587402,9.86644172668457,9.915940284729004,2350,USD
2021-07-28,9.916824340820312,9.919321060180664,9.8605375289917,9.863073348999023,427,USD
2021-07-29,9.862749099731445,9.870752334594727,9.858965873718262,9.859198570251465,971,USD
2021-07-30,9.859522819519043,9.911020278930664,9.857404708862305,9.904031753540039,2023,USD
2021-07-31,9.905324935913086,9.913960456848145,9.861612319946289,9.911163330078125,2226,USD
2021-08-01,9.912612915039062,9.913031578063965,9.862408638000488,9.868531227111816,990,USD
2021-08-02,9.86829662322998,9.94205093383789,9.86396598815918,9.901183128356934,3180,USD
2021-08-03,9.901647567749023,9.901647567749023,9.765693664550781,9.811102867126465,6933,USD
2021-08-04,9.810680389404297,9.813093185424805,9.757889747619629,9.774615287780762,7424,USD
2021-08-05,9.774430274963379,9.785810470581055,9.739895820617676,9.780282020568848,5902,USD
2021-08-06,9.780092239379883,9.784956932067871,9.723007202148438,9.724467277526855,2007,USD
2021-08-07,9.723939895629883,9.727132797241211,9.706045150756836,9.711694717407227,3515,USD
2021-08-08,9.713034629821777,9.73740005493164,9.679254531860352,9.733783721923828,3995,USD
2021-08-09,9.73268985748291,9.738099098205566,9.676945686340332,9.6807279586792,2015,USD
2021-08-10,9.67992115020752,9.731225967407227,9.6780366897583,9.725171089172363,1394,USD
2021-08-11,9.72531795501709,9.74293041229248,9.682299613952637,9.736969947814941,553,USD
2021-08-12,9.73686408996582,9.74402141571045,9.676072120666504,9.728293418884277,276,USD
2021-08-13,9.728507995605469,9.743287086486816,9.721161842346191,9.731587409973145,507,USD
2021-08-14,9.730314254760742,9.735170364379883,9.689156532287598,9.693061828613281,258,USD
2021-08-15,9.694722175598145,9.703250885009766,9.688962936401367,9.69433307647705,18,USD
2021-08-16,9.693711280822754,9.697220802307129,9.63975715637207,9.675768852233887,2189,USD
2021-08-17,9.676074028015137,9.679162979125977,9.620668411254883,9.673283576965332,4807,USD
2021-08-18,9.673965454101562,9.675479888916016,9.623498916625977,9.625261306762695,3195,USD
2021-08-19,9.626041412353516,9.629607200622559,9.609073638916016,9.612582206726074,974,USD
2021-08-20,9.613001823425293,9.654151916503906,9.597082138061523,9.60607624053955,554,USD
2021-08-21,9.604114532470703,9.740593910217285,9.600085258483887,9.730572700500488,6473,USD
2021-08-22,9.7296142578125,9.732999801635742,9.605816841125488,9.611164093017578,10652,USD
2021-08-23,9.611330032348633,9.651432991027832,9.600515365600586,9.614567756652832,4559,USD
2021-08-24,9.614482879638672,9.61486530303955,9.391218185424805,9.391551971435547,9675,USD
2021-08-25,9.39322280883789,9.397871971130371,9.353428840637207,9.355584144592285,10077,USD
2021-08-26,9.354445457458496,9.458660125732422,9.353280067443848,9.420392990112305,3310,USD
2021-08-27,9.420392990112305,9.421809196472168,9.369721412658691,9.370185852050781,4436,USD
2021-08-28,9.369864463806152,9.373456001281738,9.351407051086426,9.35696792602539,2300,USD
2021-08-29,9.35696792602539,9.366290092468262,9.351404190063477,9.357534408569336,446,USD
2021-08-30,9.35748291015625,9.35943603515625,9.336739540100098,9.341276168823242,515,USD
2021-08-31,9.342050552368164,9.38432788848877,9.335199356079102,9.379685401916504,869,USD
2021-09-01,9.379622459411621,9.382234573364258,9.338031768798828,9.341696739196777,402,USD
2021-09-02,9.341239929199219,9.344062805175781,9.335701942443848,9.339921951293945,30,USD
2021-09-03,9.34152889251709,9.3438138961792,9.337142944335938,9.339722633361816,47,USD
2021-09-04,9.3402099609375,9.380104064941406,9.338135719299316,9.338995933532715,201,USD
2021-09-05,9.341062545776367,9.34215259552002,9.323248863220215,9.32992935180664,514,USD
2021-09-06,9.33056640625,9.336703300476074,9.325423240661621,9.3261079788208,359,USD
2021-09-07,9.327099800109863,9.375040054321289,9.325501441955566,9.335832595825195,752,USD
2021-09-08,9.337995529174805,9.375807762145996,0.5151299834251404,0.5209230184555054,0,USD
2021-09-09,0.5231800079345703,0.5278400182723999,0.5072180032730103,0.5220270156860352,0,USD
2021-09-10,0.5220350027084351,0.5223039984703064,0.5200340151786804,0.5218570232391357,2620,USD
2021-09-11,0.5218150019645691,0.522146999835968,0.518642008304596,0.5216799974441528,588,USD
2021-09-12,0.5217750072479248,0.522907018661499,0.51910400390625,0.5227349996566772,628,USD
2021-09-13,0.5226830244064331,0.52326500415802,0.5196279883384705,0.521697998046875,592,USD
2021-09-14,0.5217649936676025,0.5223270058631897,0.519599974155426,0.5221220254898071,328,USD
2021-09-15,0.522167980670929,0.5253090262413025,0.521461009979248,0.5252249836921692,1375,USD
2021-09-16,0.5251320004463196,0.5255209803581238,0.5228509902954102,0.5230079889297485,1468,USD
2021-09-17,0.5229330062866211,0.5230280160903931,0.522113025188446,0.5221959948539734,131,USD
2021-09-18,0.5221920013427734,0.522816002368927,0.5217819809913635,0.5219699740409851,26,USD
2021-09-19,0.5219820141792297,0.5231999754905701,0.5212349891662598,0.5215539932250977,112,USD
2021-09-20,0.5214909911155701,0.5229089856147766,0.5205950140953064,0.5227289795875549,271,USD
2021-09-21,0.5228260159492493,0.5230309963226318,0.5226849913597107,0.522911012172699,222,USD
2021-09-22,0.5228989720344543,0.5235260128974915,0.5208969712257385,0.5229529738426208,118,USD
2021-09-23,0.5229610204696655,0.5232419967651367,0.5204460024833679,0.5212169885635376,76,USD
2021-09-24,0.521245002746582,0.5216450095176697,0.5207570195198059,0.5210980176925659,66,USD
2021-09-25,0.521120011806488,0.5258539915084839,0.5210379958152771,0.5233640074729919,404,USD
2021-09-26,0.5233539938926697,0.523626983165741,0.5229039788246155,0.5230820178985596,394,USD
2021-09-27,0.5231279730796814,0.5251250267028809,0.5226650238037109,0.5249950289726257,47,USD
2021-09-28,0.5249819755554199,0.525331974029541,0.5228610038757324,0.5229460000991821,9,USD
2021-09-29,0.5230010151863098,0.5231980085372925,0.5226619839668274,0.5230550169944763,5,USD
2021-09-30,0.5230690240859985,0.5230690240859985,0.5218989849090576,0.522255003452301,167,USD
2021-10-01,0.5222600102424622,0.5240659713745117,0.5220680236816406,0.5238140225410461,229,USD
2021-10-02,0.5237759947776794,0.5240569710731506,0.523705005645752,0.5238739848136902,63,USD
2021-10-03,0.523963987827301,0.5329920053482056,0.5235509872436523,0.5273399949073792,3306,USD
2021-10-04,0.5273630023002625,0.5276250243186951,0.5215590000152588,0.5217880010604858,3308,USD
2021-10-05,0.5218179821968079,0.5223510265350342,0.5215809941291809,0.5219500064849854,14,USD
2021-10-06,0.5219889879226685,0.5224080085754395,0.5214170217514038,0.5218849778175354,19,USD
2021-10-07,0.5219730138778687,0.5223730206489563,0.5215280055999756,0.5219870209693909,7,USD
2021-10-08,0.5219910144805908,0.5243629813194275,0.5218030214309692,0.5222160220146179,56,USD
2021-10-09,0.522167980670929,0.5223940014839172,0.5220940113067627,0.5221319794654846,56,USD
2021-10-10,0.5222110152244568,0.5226399898529053,0.5216730237007141,0.5226140022277832,9,USD
2021-10-11,0.5225570201873779,0.5242230296134949,0.521727979183197,0.5241400003433228,68,USD
2021-10-12,0.5241159796714783,0.5247790217399597,0.524025022983551,0.5245350003242493,166,USD
2021-10-13,0.5244449973106384,0.5347840189933777,0.5230709910392761,0.5324230194091797,1794,USD
2021-10-14,0.532446026802063,0.5325859785079956,0.5302240252494812,0.5305659770965576,2329,USD
2021-10-15,0.5305690169334412,0.5367980003356934,0.5286070108413696,0.5363489985466003,3064,USD
2021-10-16,0.5363460183143616,0.536749005317688,0.5337610244750977,0.5339069962501526,2498,USD
2021-10-17,0.5339369773864746,0.5369979739189148,0.5311840176582336,0.5368289947509766,3367,USD
2021-10-18,0.5368409752845764,0.5370849967002869,0.5276560187339783,0.5278970003128052,4389,USD
2021-10-19,0.527866005897522,0.5308039784431458,0.5245130062103271,0.5246099829673767,1686,USD
2021-10-20,0.5246189832687378,0.5264930129051208,0.5244560241699219,0.5264009833335876,594,USD
